,,,,,,,,,,,,,
c_FormaPago,Descripción,Bancarizado,Número de operación,RFC del Emisor de la cuenta ordenante,Cuenta Ordenante,Patrón para cuenta ordenante,RFC del Emisor Cuenta de Beneficiario,Cuenta de Benenficiario,Patrón para cuenta Beneficiaria,Tipo Cadena Pago,Nombre del Banco emisor de la cuenta ordenante en caso de extranjero,Fecha inicio de vigencia,Fecha fin de vigencia
01,Efectivo,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
02,Cheque nominativo,Sí,Opcional,Opcional,Opcional,[0-9]{11}|[0-9]{18},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/17,
03,Transferencia electrónica de fondos,Sí,Opcional,Opcional,Opcional,[0-9]{10}|[0-9]{16}|[0-9]{18},Opcional,Opcional,[0-9]{10}|[0-9]{18},Opcional,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/17,
04,Tarjeta de crédito,Sí,Opcional,Opcional,Opcional,[0-9]{16},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/17,
05,Monedero electrónico,Sí,Opcional,Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,No,1/1/17,
06,Dinero electrónico,Sí,Opcional,Opcional,Opcional,[0-9]{10},No,No,No,No,No,1/1/17,
08,Vales de despensa,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
12,Dación en pago,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
13,Pago por subrogación,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
14,Pago por consignación,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
15,Condonación,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
17,Compensación,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
23,Novación,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
24,Confusión,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
25,Remisión de deuda,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
26,Prescripción o caducidad,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
27,A satisfacción del acreedor,No,Opcional,No,No,No,No,No,No,No,No,1/1/17,
28,Tarjeta de débito,Sí,Opcional,Opcional,Opcional,[0-9]{16},Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/17,
29,Tarjeta de servicios,Sí,Opcional,Opcional,Opcional,"[0-9]{15,16}",Opcional,Opcional,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",No,"Si el RFC del emisor de la cuenta ordenante es XEXX010101000, este campo es obligatorio.",1/1/17,
30,Aplicación de anticipos,No,Opcional,No,No,No,No,No,No,No,No,8/13/17,
31,Intermediario pagos,No,Opcional,No,No,No,No,No,No,No,No,12/5/17,
99,Por definir,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,1/1/17,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
