c_Moneda,Descripción,Decimales,Porcentaje variación,Fecha inicio de vigencia,Fecha fin de vigencia
AED,Dirham de EAU,2,500%,14/08/2017,
AFN,Afghani,2,500%,14/08/2017,
ALL,Lek,2,500%,14/08/2017,
AMD,Dram armenio,2,500%,14/08/2017,
ANG,Florín antillano neerlandés,2,500%,14/08/2017,
AOA,Kwanza,2,500%,14/08/2017,
ARS,Peso Argentino,2,500%,14/08/2017,
AUD,Dólar Australiano,2,500%,14/08/2017,
AWG,Aruba Florin,2,500%,14/08/2017,
AZN,Azerbaijanian Manat,2,500%,14/08/2017,
BAM,Convertibles marca,2,500%,14/08/2017,
BBD,Dólar de Barbados,2,500%,14/08/2017,
BDT,Taka,2,500%,14/08/2017,
BGN,Lev búlgaro,2,500%,14/08/2017,
BHD,Dinar de Bahrein,3,500%,14/08/2017,
BIF,Burundi Franc,0,500%,14/08/2017,
BMD,Dólar de Bermudas,2,500%,14/08/2017,
BND,Dólar de Brunei,2,500%,14/08/2017,
BOB,Boliviano,2,500%,14/08/2017,
BOV,Mvdol,2,500%,14/08/2017,
BRL,Real brasileño,2,500%,14/08/2017,
BSD,Dólar de las Bahamas,2,500%,14/08/2017,
BTN,Ngultrum,2,500%,14/08/2017,
BWP,Pula,2,500%,14/08/2017,
BYR,Rublo bielorruso,0,500%,14/08/2017,
BZD,Dólar de Belice,2,500%,14/08/2017,
CAD,Dólar Canadiense,2,500%,14/08/2017,
CDF,Franco congoleño,2,500%,14/08/2017,
CHE,WIR Euro,2,500%,14/08/2017,
CHF,Franco Suizo,2,500%,14/08/2017,
CHW,Franc WIR,2,500%,14/08/2017,
CLF,Unidad de Fomento,4,500%,14/08/2017,
CLP,Peso chileno,0,500%,14/08/2017,
CNY,Yuan Renminbi,2,500%,14/08/2017,
COP,Peso Colombiano,2,500%,14/08/2017,
COU,Unidad de Valor real,2,500%,14/08/2017,
CRC,Colón costarricense,2,500%,14/08/2017,
CUC,Peso Convertible,2,500%,14/08/2017,
CUP,Peso Cubano,2,500%,14/08/2017,
CVE,Cabo Verde Escudo,2,500%,14/08/2017,
CZK,Corona checa,2,500%,14/08/2017,
DJF,Franco de Djibouti,0,500%,14/08/2017,
DKK,Corona danesa,2,500%,14/08/2017,
DOP,Peso Dominicano,2,500%,14/08/2017,
DZD,Dinar argelino,2,500%,14/08/2017,
EGP,Libra egipcia,2,500%,14/08/2017,
ERN,Nakfa,2,500%,14/08/2017,
ETB,Birr etíope,2,500%,14/08/2017,
EUR,Euro,2,500%,14/08/2017,
FJD,Dólar de Fiji,2,500%,14/08/2017,
FKP,Libra malvinense,2,500%,14/08/2017,
GBP,Libra Esterlina,2,500%,14/08/2017,
GEL,Lari,2,500%,14/08/2017,
GHS,Cedi de Ghana,2,500%,14/08/2017,
GIP,Libra de Gibraltar,2,500%,14/08/2017,
GMD,Dalasi,2,500%,14/08/2017,
GNF,Franco guineano,0,500%,14/08/2017,
GTQ,Quetzal,2,500%,14/08/2017,
GYD,Dólar guyanés,2,500%,14/08/2017,
HKD,Dólar De Hong Kong,2,500%,14/08/2017,
HNL,Lempira,2,500%,14/08/2017,
HRK,Kuna,2,500%,14/08/2017,
HTG,Gourde,2,500%,14/08/2017,
HUF,Florín,2,500%,14/08/2017,
IDR,Rupia,2,500%,14/08/2017,
ILS,Nuevo Shekel Israelí,2,500%,14/08/2017,
INR,Rupia india,2,500%,14/08/2017,
IQD,Dinar iraquí,3,500%,14/08/2017,
IRR,Rial iraní,2,500%,14/08/2017,
ISK,Corona islandesa,0,500%,14/08/2017,
JMD,Dólar Jamaiquino,2,500%,14/08/2017,
JOD,Dinar jordano,3,500%,14/08/2017,
JPY,Yen,0,500%,14/08/2017,
KES,Chelín keniano,2,500%,14/08/2017,
KGS,Som,2,500%,14/08/2017,
KHR,Riel,2,500%,14/08/2017,
KMF,Franco Comoro,0,500%,14/08/2017,
KPW,Corea del Norte ganó,2,500%,14/08/2017,
KRW,Won,0,500%,14/08/2017,
KWD,Dinar kuwaití,3,500%,14/08/2017,
KYD,Dólar de las Islas Caimán,2,500%,14/08/2017,
KZT,Tenge,2,500%,14/08/2017,
LAK,Kip,2,500%,14/08/2017,
LBP,Libra libanesa,2,500%,14/08/2017,
LKR,Rupia de Sri Lanka,2,500%,14/08/2017,
LRD,Dólar liberiano,2,500%,14/08/2017,
LSL,Loti,2,500%,14/08/2017,
LYD,Dinar libio,3,500%,14/08/2017,
MAD,Dirham marroquí,2,500%,14/08/2017,
MDL,Leu moldavo,2,500%,14/08/2017,
MGA,Ariary malgache,2,500%,14/08/2017,
MKD,Denar,2,500%,14/08/2017,
MMK,Kyat,2,500%,14/08/2017,
MNT,Tugrik,2,500%,14/08/2017,
MOP,Pataca,2,500%,14/08/2017,
MRO,Ouguiya,2,500%,14/08/2017,
MUR,Rupia de Mauricio,2,500%,14/08/2017,
MVR,Rupia,2,500%,14/08/2017,
MWK,Kwacha,2,500%,14/08/2017,
MXN,Peso Mexicano,2,500%,14/08/2017,
MXV,México Unidad de Inversión (UDI),2,500%,14/08/2017,
MYR,Ringgit malayo,2,500%,14/08/2017,
MZN,Mozambique Metical,2,500%,14/08/2017,
NAD,Dólar de Namibia,2,500%,14/08/2017,
NGN,Naira,2,500%,14/08/2017,
NIO,Córdoba Oro,2,500%,14/08/2017,
NOK,Corona noruega,2,500%,14/08/2017,
NPR,Rupia nepalí,2,500%,14/08/2017,
NZD,Dólar de Nueva Zelanda,2,500%,14/08/2017,
OMR,Rial omaní,3,500%,14/08/2017,
PAB,Balboa,2,500%,14/08/2017,
PEN,Nuevo Sol,2,500%,14/08/2017,
PGK,Kina,2,500%,14/08/2017,
PHP,Peso filipino,2,500%,14/08/2017,
PKR,Rupia de Pakistán,2,500%,14/08/2017,
PLN,Zloty,2,500%,14/08/2017,
PYG,Guaraní,0,500%,14/08/2017,
QAR,Qatar Rial,2,500%,14/08/2017,
RON,Leu rumano,2,500%,14/08/2017,
RSD,Dinar serbio,2,500%,14/08/2017,
RUB,Rublo ruso,2,500%,14/08/2017,
RWF,Franco ruandés,0,500%,14/08/2017,
SAR,Riyal saudí,2,500%,14/08/2017,
SBD,Dólar de las Islas Salomón,2,500%,14/08/2017,
SCR,Rupia de Seychelles,2,500%,14/08/2017,
SDG,Libra sudanesa,2,500%,14/08/2017,
SEK,Corona sueca,2,500%,14/08/2017,
SGD,Dólar De Singapur,2,500%,14/08/2017,
SHP,Libra de Santa Helena,2,500%,14/08/2017,
SLL,Leona,2,500%,14/08/2017,
SOS,Chelín somalí,2,500%,14/08/2017,
SRD,Dólar de Suriname,2,500%,14/08/2017,
SSP,Libra sudanesa Sur,2,500%,14/08/2017,
STD,Dobra,2,500%,14/08/2017,
SVC,Colon El Salvador,2,500%,14/08/2017,
SYP,Libra Siria,2,500%,14/08/2017,
SZL,Lilangeni,2,500%,14/08/2017,
THB,Baht,2,500%,14/08/2017,
TJS,Somoni,2,500%,14/08/2017,
TMT,Turkmenistán nuevo manat,2,500%,14/08/2017,
TND,Dinar tunecino,3,500%,14/08/2017,
TOP,Pa'anga,2,500%,14/08/2017,
TRY,Lira turca,2,500%,14/08/2017,
TTD,Dólar de Trinidad y Tobago,2,500%,14/08/2017,
TWD,Nuevo dólar de Taiwán,2,500%,14/08/2017,
TZS,Shilling tanzano,2,500%,14/08/2017,
UAH,Hryvnia,2,500%,14/08/2017,
UGX,Shilling de Uganda,0,500%,14/08/2017,
USD,Dólar americano,2,500%,14/08/2017,
USN,Dólar estadounidense (día siguiente),2,500%,14/08/2017,
UYI,Peso Uruguay en Unidades Indexadas (URUIURUI),0,500%,14/08/2017,
UYU,Peso Uruguayo,2,500%,14/08/2017,
UZS,Uzbekistán Sum,2,500%,14/08/2017,
VEF,Bolívar,2,500%,14/08/2017,
VND,Dong,0,500%,14/08/2017,
VUV,Vatu,0,500%,14/08/2017,
WST,Tala,2,500%,14/08/2017,
XAF,Franco CFA BEAC,0,500%,14/08/2017,
XAG,Plata,0,500%,14/08/2017,
XAU,Oro,0,500%,14/08/2017,
XBA,Unidad de Mercados de Bonos Unidad Europea Composite (EURCO),0,500%,14/08/2017,
XBB,Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6),0,500%,14/08/2017,
XBC,Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9),0,500%,14/08/2017,
XBD,Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17),0,500%,14/08/2017,
XCD,Dólar del Caribe Oriental,2,500%,14/08/2017,
XDR,DEG (Derechos Especiales de Giro),0,500%,14/08/2017,
XOF,Franco CFA BCEAO,0,500%,14/08/2017,
XPD,Paladio,0,500%,14/08/2017,
XPF,Franco CFP,0,500%,14/08/2017,
XPT,Platino,0,500%,14/08/2017,
XSU,Sucre,0,500%,14/08/2017,
XTS,Códigos reservados específicamente para propósitos de prueba,0,,14/08/2017,
XUA,Unidad ADB de Cuenta,0,500%,14/08/2017,
XXX,Los códigos asignados para las transacciones en que intervenga ninguna moneda,0,,14/08/2017,
YER,Rial yemení,2,500%,14/08/2017,
ZAR,Rand,2,500%,14/08/2017,
