postal_code,state,municipality,locality,frontier,start_date,end_date,timezone
,,,,,,,Descripción del Huso Horario
20000,AGU,001,01,0,1/1/22,,Tiempo del Centro
20001,AGU,,,0,1/1/22,,Tiempo del Centro
20002,AGU,,,0,1/1/22,,Tiempo del Centro
20003,AGU,,,0,1/1/22,,Tiempo del Centro
20004,AGU,,,0,1/1/22,,Tiempo del Centro
20005,AGU,,,0,1/1/22,,Tiempo del Centro
20006,AGU,,,0,1/1/22,,Tiempo del Centro
20007,AGU,,,0,1/1/22,,Tiempo del Centro
20008,AGU,,,0,1/1/22,,Tiempo del Centro
20009,AGU,,,0,1/1/22,,Tiempo del Centro
20010,AGU,001,01,0,1/1/22,,Tiempo del Centro
20011,AGU,,,0,1/1/22,,Tiempo del Centro
20012,AGU,,,0,1/1/22,,Tiempo del Centro
20013,AGU,,,0,1/1/22,,Tiempo del Centro
20014,AGU,,,0,1/1/22,,Tiempo del Centro
20015,AGU,,,0,1/1/22,,Tiempo del Centro
20016,AGU,001,01,0,1/1/22,,Tiempo del Centro
20017,AGU,,,0,1/1/22,,Tiempo del Centro
20018,AGU,001,01,0,1/1/22,,Tiempo del Centro
20019,AGU,,,0,1/1/22,,Tiempo del Centro
20020,AGU,001,01,0,1/1/22,,Tiempo del Centro
20021,AGU,,,0,1/1/22,,Tiempo del Centro
20022,AGU,,,0,1/1/22,,Tiempo del Centro
20023,AGU,,,0,1/1/22,,Tiempo del Centro
20024,AGU,,,0,1/1/22,,Tiempo del Centro
20025,AGU,,,0,1/1/22,,Tiempo del Centro
20026,AGU,,,0,1/1/22,,Tiempo del Centro
20027,AGU,,,0,1/1/22,,Tiempo del Centro
20028,AGU,,,0,1/1/22,,Tiempo del Centro
20029,AGU,001,01,0,1/1/22,,Tiempo del Centro
20030,AGU,001,01,0,1/1/22,,Tiempo del Centro
20031,AGU,,,0,1/1/22,,Tiempo del Centro
20032,AGU,,,0,1/1/22,,Tiempo del Centro
20033,AGU,,,0,1/1/22,,Tiempo del Centro
20034,AGU,,,0,1/1/22,,Tiempo del Centro
20035,AGU,,,0,1/1/22,,Tiempo del Centro
20036,AGU,,,0,1/1/22,,Tiempo del Centro
20037,AGU,,,0,1/1/22,,Tiempo del Centro
20038,AGU,,,0,1/1/22,,Tiempo del Centro
20039,AGU,,,0,1/1/22,,Tiempo del Centro
20040,AGU,001,01,0,1/1/22,,Tiempo del Centro
20041,AGU,,,0,1/1/22,,Tiempo del Centro
20042,AGU,,,0,1/1/22,,Tiempo del Centro
20043,AGU,,,0,1/1/22,,Tiempo del Centro
20044,AGU,,,0,1/1/22,,Tiempo del Centro
20045,AGU,,,0,1/1/22,,Tiempo del Centro
20046,AGU,,,0,1/1/22,,Tiempo del Centro
20047,AGU,,,0,1/1/22,,Tiempo del Centro
20048,AGU,,,0,1/1/22,,Tiempo del Centro
20049,AGU,001,01,0,1/1/22,,Tiempo del Centro
20050,AGU,001,01,0,1/1/22,,Tiempo del Centro
20051,AGU,,,0,1/1/22,,Tiempo del Centro
20052,AGU,,,0,1/1/22,,Tiempo del Centro
20053,AGU,,,0,1/1/22,,Tiempo del Centro
20054,AGU,,,0,1/1/22,,Tiempo del Centro
20055,AGU,,,0,1/1/22,,Tiempo del Centro
20056,AGU,,,0,1/1/22,,Tiempo del Centro
20057,AGU,,,0,1/1/22,,Tiempo del Centro
20058,AGU,,,0,1/1/22,,Tiempo del Centro
20059,AGU,001,01,0,1/1/22,,Tiempo del Centro
20060,AGU,001,01,0,1/1/22,,Tiempo del Centro
20061,AGU,,,0,1/1/22,,Tiempo del Centro
20062,AGU,,,0,1/1/22,,Tiempo del Centro
20063,AGU,,,0,1/1/22,,Tiempo del Centro
20064,AGU,001,01,0,1/1/22,,Tiempo del Centro
20065,AGU,,,0,1/1/22,,Tiempo del Centro
20066,AGU,,,0,1/1/22,,Tiempo del Centro
20067,AGU,,,0,1/1/22,,Tiempo del Centro
20068,AGU,,,0,1/1/22,,Tiempo del Centro
20069,AGU,,,0,1/1/22,,Tiempo del Centro
20070,AGU,001,01,0,1/1/22,,Tiempo del Centro
20071,AGU,,,0,1/1/22,,Tiempo del Centro
20072,AGU,,,0,1/1/22,,Tiempo del Centro
20073,AGU,,,0,1/1/22,,Tiempo del Centro
20074,AGU,,,0,1/1/22,,Tiempo del Centro
20075,AGU,,,0,1/1/22,,Tiempo del Centro
20076,AGU,,,0,1/1/22,,Tiempo del Centro
20077,AGU,,,0,1/1/22,,Tiempo del Centro
20078,AGU,001,01,0,1/1/22,,Tiempo del Centro
20079,AGU,,,0,1/1/22,,Tiempo del Centro
20080,AGU,001,01,0,1/1/22,,Tiempo del Centro
20081,AGU,,,0,1/1/22,,Tiempo del Centro
20082,AGU,,,0,1/1/22,,Tiempo del Centro
20083,AGU,,,0,1/1/22,,Tiempo del Centro
20084,AGU,,,0,1/1/22,,Tiempo del Centro
20085,AGU,,,0,1/1/22,,Tiempo del Centro
20086,AGU,,,0,1/1/22,,Tiempo del Centro
20087,AGU,,,0,1/1/22,,Tiempo del Centro
20088,AGU,,,0,1/1/22,,Tiempo del Centro
20089,AGU,001,01,0,1/1/22,,Tiempo del Centro
20090,AGU,,,0,1/1/22,,Tiempo del Centro
20091,AGU,,,0,1/1/22,,Tiempo del Centro
20092,AGU,,,0,1/1/22,,Tiempo del Centro
20093,AGU,,,0,1/1/22,,Tiempo del Centro
20094,AGU,,,0,1/1/22,,Tiempo del Centro
20095,AGU,,,0,1/1/22,,Tiempo del Centro
20096,AGU,,,0,1/1/22,,Tiempo del Centro
20097,AGU,,,0,1/1/22,,Tiempo del Centro
20098,AGU,,,0,1/1/22,,Tiempo del Centro
20099,AGU,,,0,1/1/22,,Tiempo del Centro
20100,AGU,001,01,0,1/1/22,,Tiempo del Centro
20101,AGU,,,0,1/1/22,,Tiempo del Centro
20102,AGU,,,0,1/1/22,,Tiempo del Centro
20103,AGU,,,0,1/1/22,,Tiempo del Centro
20104,AGU,,,0,1/1/22,,Tiempo del Centro
20105,AGU,,,0,1/1/22,,Tiempo del Centro
20106,AGU,,,0,1/1/22,,Tiempo del Centro
20107,AGU,,,0,1/1/22,,Tiempo del Centro
20108,AGU,,,0,1/1/22,,Tiempo del Centro
20109,AGU,,,0,1/1/22,,Tiempo del Centro
20110,AGU,001,01,0,1/1/22,,Tiempo del Centro
20111,AGU,,,0,1/1/22,,Tiempo del Centro
20112,AGU,,,0,1/1/22,,Tiempo del Centro
20113,AGU,,,0,1/1/22,,Tiempo del Centro
20114,AGU,,,0,1/1/22,,Tiempo del Centro
20115,AGU,001,01,0,1/1/22,,Tiempo del Centro
20116,AGU,001,01,0,1/1/22,,Tiempo del Centro
20117,AGU,001,01,0,1/1/22,,Tiempo del Centro
20118,AGU,001,01,0,1/1/22,,Tiempo del Centro
20119,AGU,001,01,0,1/1/22,,Tiempo del Centro
20120,AGU,001,01,0,1/1/22,,Tiempo del Centro
20121,AGU,,,0,1/1/22,,Tiempo del Centro
20122,AGU,,,0,1/1/22,,Tiempo del Centro
20123,AGU,001,01,0,1/1/22,,Tiempo del Centro
20124,AGU,001,01,0,1/1/22,,Tiempo del Centro
20125,AGU,,,0,1/1/22,,Tiempo del Centro
20126,AGU,001,,0,1/1/22,,Tiempo del Centro
20127,AGU,001,01,0,1/1/22,,Tiempo del Centro
20128,AGU,001,,0,1/1/22,,Tiempo del Centro
20129,AGU,001,01,0,1/1/22,,Tiempo del Centro
20130,AGU,001,01,0,1/1/22,,Tiempo del Centro
20131,AGU,,,0,1/1/22,,Tiempo del Centro
20132,AGU,,,0,1/1/22,,Tiempo del Centro
20133,AGU,,,0,1/1/22,,Tiempo del Centro
20134,AGU,,,0,1/1/22,,Tiempo del Centro
20135,AGU,001,01,0,1/1/22,,Tiempo del Centro
20136,AGU,001,01,0,1/1/22,,Tiempo del Centro
20137,AGU,001,01,0,1/1/22,,Tiempo del Centro
20138,AGU,001,01,0,1/1/22,,Tiempo del Centro
20139,AGU,,,0,1/1/22,,Tiempo del Centro
20140,AGU,001,01,0,1/1/22,,Tiempo del Centro
20141,AGU,,,0,1/1/22,,Tiempo del Centro
20142,AGU,,,0,1/1/22,,Tiempo del Centro
20143,AGU,,,0,1/1/22,,Tiempo del Centro
20144,AGU,,,0,1/1/22,,Tiempo del Centro
20145,AGU,,,0,1/1/22,,Tiempo del Centro
20146,AGU,001,01,0,1/1/22,,Tiempo del Centro
20147,AGU,,,0,1/1/22,,Tiempo del Centro
20148,AGU,,,0,1/1/22,,Tiempo del Centro
20149,AGU,001,01,0,1/1/22,,Tiempo del Centro
20150,AGU,001,01,0,1/1/22,,Tiempo del Centro
20151,AGU,,,0,1/1/22,,Tiempo del Centro
20152,AGU,,,0,1/1/22,,Tiempo del Centro
20153,AGU,,,0,1/1/22,,Tiempo del Centro
20154,AGU,,,0,1/1/22,,Tiempo del Centro
20155,AGU,,,0,1/1/22,,Tiempo del Centro
20156,AGU,,,0,1/1/22,,Tiempo del Centro
20157,AGU,001,01,0,1/1/22,,Tiempo del Centro
20158,AGU,001,01,0,1/1/22,,Tiempo del Centro
20159,AGU,001,01,0,1/1/22,,Tiempo del Centro
20160,AGU,001,01,0,1/1/22,,Tiempo del Centro
20161,AGU,,,0,1/1/22,,Tiempo del Centro
20162,AGU,,,0,1/1/22,,Tiempo del Centro
20163,AGU,,,0,1/1/22,,Tiempo del Centro
20164,AGU,001,01,0,1/1/22,,Tiempo del Centro
20165,AGU,,,0,1/1/22,,Tiempo del Centro
20166,AGU,,,0,1/1/22,,Tiempo del Centro
20167,AGU,,,0,1/1/22,,Tiempo del Centro
20168,AGU,,,0,1/1/22,,Tiempo del Centro
20169,AGU,001,01,0,1/1/22,,Tiempo del Centro
20170,AGU,001,01,0,1/1/22,,Tiempo del Centro
20171,AGU,,,0,1/1/22,,Tiempo del Centro
20172,AGU,001,01,0,1/1/22,,Tiempo del Centro
20173,AGU,,,0,1/1/22,,Tiempo del Centro
20174,AGU,001,01,0,1/1/22,,Tiempo del Centro
20175,AGU,001,01,0,1/1/22,,Tiempo del Centro
20176,AGU,,,0,1/1/22,,Tiempo del Centro
20177,AGU,001,01,0,1/1/22,,Tiempo del Centro
20178,AGU,,,0,1/1/22,,Tiempo del Centro
20179,AGU,001,01,0,1/1/22,,Tiempo del Centro
20180,AGU,001,01,0,1/1/22,,Tiempo del Centro
20181,AGU,,,0,1/1/22,,Tiempo del Centro
20182,AGU,,,0,1/1/22,,Tiempo del Centro
20183,AGU,,,0,1/1/22,,Tiempo del Centro
20184,AGU,,,0,1/1/22,,Tiempo del Centro
20185,AGU,,,0,1/1/22,,Tiempo del Centro
20186,AGU,,,0,1/1/22,,Tiempo del Centro
20187,AGU,,,0,1/1/22,,Tiempo del Centro
20188,AGU,,,0,1/1/22,,Tiempo del Centro
20189,AGU,,,0,1/1/22,,Tiempo del Centro
20190,AGU,001,01,0,1/1/22,,Tiempo del Centro
20191,AGU,,,0,1/1/22,,Tiempo del Centro
20192,AGU,,,0,1/1/22,,Tiempo del Centro
20193,AGU,,,0,1/1/22,,Tiempo del Centro
20194,AGU,,,0,1/1/22,,Tiempo del Centro
20195,AGU,,,0,1/1/22,,Tiempo del Centro
20196,AGU,001,01,0,1/1/22,,Tiempo del Centro
20197,AGU,,,0,1/1/22,,Tiempo del Centro
20198,AGU,001,01,0,1/1/22,,Tiempo del Centro
20199,AGU,001,01,0,1/1/22,,Tiempo del Centro
20200,AGU,001,01,0,1/1/22,,Tiempo del Centro
20201,AGU,,,0,1/1/22,,Tiempo del Centro
20202,AGU,,,0,1/1/22,,Tiempo del Centro
20203,AGU,,,0,1/1/22,,Tiempo del Centro
20204,AGU,,,0,1/1/22,,Tiempo del Centro
20205,AGU,001,01,0,1/1/22,,Tiempo del Centro
20206,AGU,001,01,0,1/1/22,,Tiempo del Centro
20207,AGU,001,01,0,1/1/22,,Tiempo del Centro
20208,AGU,001,01,0,1/1/22,,Tiempo del Centro
20209,AGU,,,0,1/1/22,,Tiempo del Centro
20210,AGU,001,01,0,1/1/22,,Tiempo del Centro
20211,AGU,,,0,1/1/22,,Tiempo del Centro
20212,AGU,,,0,1/1/22,,Tiempo del Centro
20213,AGU,,,0,1/1/22,,Tiempo del Centro
20214,AGU,,,0,1/1/22,,Tiempo del Centro
20215,AGU,,,0,1/1/22,,Tiempo del Centro
20216,AGU,001,01,0,1/1/22,,Tiempo del Centro
20217,AGU,001,01,0,1/1/22,,Tiempo del Centro
20218,AGU,001,01,0,1/1/22,,Tiempo del Centro
20219,AGU,001,01,0,1/1/22,,Tiempo del Centro
20220,AGU,001,01,0,1/1/22,,Tiempo del Centro
20221,AGU,,,0,1/1/22,,Tiempo del Centro
20222,AGU,,,0,1/1/22,,Tiempo del Centro
20223,AGU,,,0,1/1/22,,Tiempo del Centro
20224,AGU,,,0,1/1/22,,Tiempo del Centro
20225,AGU,,,0,1/1/22,,Tiempo del Centro
20226,AGU,,,0,1/1/22,,Tiempo del Centro
20227,AGU,,,0,1/1/22,,Tiempo del Centro
20228,AGU,,,0,1/1/22,,Tiempo del Centro
20229,AGU,001,01,0,1/1/22,,Tiempo del Centro
20230,AGU,001,01,0,1/1/22,,Tiempo del Centro
