c_Localidad,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia,
01,AGU,Aguascalientes,1/1/22,,
01,BCN,Ensenada,1/1/22,,
01,BCS,Ciudad Constitución,1/1/22,,
01,CAM,San Francisco de Campeche,1/1/22,,
01,COA,Ciudad Acuña,1/1/22,,
01,COL,Colima,1/1/22,,
01,CHH,Santa Rosalía de Camargo,1/1/22,,
01,CHP,Comitán de Domínguez,1/1/22,,
01,CMX,Ciudad de México,1/1/22,,
01,DUR,Victoria de Durango,1/1/22,,
01,GRO,Acapulco de Juárez,1/1/22,,
01,GUA,Acámbaro,1/1/22,,
01,HID,Actopan,1/1/22,,
01,JAL,Ameca,1/1/22,,
01,MEX,Ciudad Adolfo López Mateos,1/1/22,,
01,MIC,Apatzingán de la Constitución,1/1/22,,
01,MOR,Cuautla (Cuautla de Morelos),1/1/22,,
01,NAY,Santiago Ixcuintla,1/1/22,,
01,NLE,Ciudad Apodaca,1/1/22,,
01,OAX,Juchitán (Juchitán de Zaragoza),1/1/22,,
01,PUE,Atlixco,1/1/22,,
01,QUE,Querétaro,1/1/22,,
01,ROO,Cancún,1/1/22,,
01,SIN,Los Mochis,1/1/22,,
01,SLP,Ciudad Valles,1/1/22,,
01,SON,San Luis Río Colorado,1/1/22,,
01,TAB,Cárdenas,1/1/22,,
01,TAM,Altamira,1/1/22,,
01,TLA,Apizaco,1/1/22,,
01,VER,Acayucan,1/1/22,,
01,YUC,Mérida,1/1/22,,
01,ZAC,Fresnillo,1/1/22,,
02,AGU,Calvillo,1/1/22,,
02,BCN,Mexicali,1/1/22,,
02,BCS,La Paz,1/1/22,,
02,CAM,Ciudad del Carmen,1/1/22,,
02,COA,Frontera,1/1/22,,
02,COL,Manzanillo,1/1/22,,
02,CHH,Chihuahua,1/1/22,,
02,CHP,San Cristóbal de las Casas,1/1/22,,
02,CMX,Ciudad de México,1/1/22,,
02,DUR,Gómez Palacio,1/1/22,,
02,GRO,Chilpancingo de los Bravo,1/1/22,,
02,GUA,San miguel de Allende,1/1/22,,
02,HID,Apan,1/1/22,,
02,JAL,Ciudad Guzmán,1/1/22,,
02,MEX,Chimalhuacán,1/1/22,,
02,MIC,Los Reyes de Salgado,1/1/22,,
02,MOR,Cuernavaca,1/1/22,,
02,NAY,Tepic,1/1/22,,
02,NLE,San Pedro Garza García,1/1/22,,
02,OAX,Oaxaca de Juárez,1/1/22,,
02,PUE,Izúcar de Matamoros,1/1/22,,
02,QUE,San Juan del Rio,1/1/22,,
02,ROO,Cozumel,1/1/22,,
02,SIN,Culiacán Rosales,1/1/22,,
02,SLP,Ébano,1/1/22,,
