municipality,state,description,start_date,end_date
001,AGU,Aguascalientes,1/1/22,
001,BCN,Ensenada,1/1/22,
001,BCS,Comondú,1/1/22,
001,CAM,Calkiní,1/1/22,
001,COA,Abasolo,1/1/22,
001,COL,Armería,1/1/22,
001,CHH,Ahumada,1/1/22,
001,CHP,Acacoyagua,1/1/22,
001,DUR,Canatlán,1/1/22,
001,GRO,Acapulco de Juárez,1/1/22,
001,GUA,Abasolo,1/1/22,
001,HID,Acatlán,1/1/22,
001,JAL,Acatic,1/1/22,
001,MEX,Acambay de Ruíz Castañeda,1/1/22,
001,MIC,Acuitzio,1/1/22,
001,MOR,Amacuzac,1/1/22,
001,NAY,Acaponeta,1/1/22,
001,NLE,Abasolo,1/1/22,
001,OAX,Abejones,1/1/22,
001,PUE,Acajete,1/1/22,
001,QUE,Amealco de Bonfil,1/1/22,
001,ROO,Cozumel,1/1/22,
001,SIN,Ahome,1/1/22,
001,SLP,Ahualulco,1/1/22,
001,SON,Aconchi,1/1/22,
001,TAB,Balancán,1/1/22,
001,TAM,Abasolo,1/1/22,
001,TLA,Amaxac de Guerrero,1/1/22,
001,VER,Acajete,1/1/22,
001,YUC,Abalá,1/1/22,
001,ZAC,Apozol,1/1/22,
002,AGU,Asientos,1/1/22,
002,BCN,Mexicali,1/1/22,
002,BCS,Mulegé,1/1/22,
002,CAM,Campeche,1/1/22,
002,COA,Acuña,1/1/22,
002,COL,Colima,1/1/22,
002,CHH,Aldama,1/1/22,
002,CHP,Acala,1/1/22,
002,CMX,Azcapotzalco,1/1/22,
002,DUR,Canelas,1/1/22,
002,GRO,Ahuacuotzingo,1/1/22,
002,GUA,Acámbaro,1/1/22,
002,HID,Acaxochitlán,1/1/22,
002,JAL,Acatlán de Juárez,1/1/22,
002,MEX,Acolman,1/1/22,
002,MIC,Aguililla,1/1/22,
002,MOR,Atlatlahucan,1/1/22,
002,NAY,Ahuacatlán,1/1/22,
002,NLE,Agualeguas,1/1/22,
002,OAX,Acatlán de Pérez Figueroa,1/1/22,
002,PUE,Acateno,1/1/22,
002,QUE,Pinal de Amoles,1/1/22,
002,ROO,Felipe Carrillo Puerto,1/1/22,
002,SIN,Angostura,1/1/22,
002,SLP,Alaquines,1/1/22,
002,SON,Agua Prieta,1/1/22,
002,TAB,Cárdenas,1/1/22,
002,TAM,Aldama,1/1/22,
002,TLA,Apetatitlán de Antonio Carvajal,1/1/22,
002,VER,Acatlán,1/1/22,
002,YUC,Acanceh,1/1/22,
002,ZAC,Apulco,1/1/22,
003,AGU,Calvillo,1/1/22,
003,BCN,Tecate,1/1/22,
003,BCS,La Paz,1/1/22,
003,CAM,Carmen,1/1/22,
003,COA,Allende,1/1/22,
003,COL,Comala,1/1/22,
003,CHH,Allende,1/1/22,
003,CHP,Acapetahua,1/1/22,
003,CMX,Coyoacán,1/1/22,
003,DUR,Coneto de Comonfort,1/1/22,
003,GRO,Ajuchitlán del Progreso,1/1/22,
003,GUA,San Miguel de Allende,1/1/22,
003,HID,Actopan,1/1/22,
003,JAL,Ahualulco de Mercado,1/1/22,
003,MEX,Aculco,1/1/22,
003,MIC,Álvaro Obregón,1/1/22,
003,MOR,Axochiapan,1/1/22,
003,NAY,Amatlán de Cañas,1/1/22,
003,NLE,Los Aldamas,1/1/22,
003,OAX,Asunción Cacalotepec,1/1/22,
003,PUE,Acatlán,1/1/22,
003,QUE,Arroyo Seco,1/1/22,
003,ROO,Isla Mujeres,1/1/22,
003,SIN,Badiraguato,1/1/22,
003,SLP,Aquismón,1/1/22,
003,SON,Alamos,1/1/22,
003,TAB,Centla,1/1/22,
003,TAM,Altamira,1/1/22,
003,TLA,Atlangatepec,1/1/22,
003,VER,Acayucan,1/1/22,
003,YUC,Akil,1/1/22,
003,ZAC,Atolinga,1/1/22,
004,AGU,Cosío,1/1/22,
004,BCN,Tijuana,1/1/22,
004,CAM,Champotón,1/1/22,
004,COA,Arteaga,1/1/22,
004,COL,Coquimatlán,1/1/22,
004,CHH,Aquiles Serdán,1/1/22,
004,CHP,Altamirano,1/1/22,
004,CMX,Cuajimalpa de Morelos,1/1/22,
004,DUR,Cuencamé,1/1/22,
