c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Referencias del Huso Horario
,,,,,,,Descripción del Huso Horario
00000,AGU,000,00,0,1/7/19,10/14/19,Tiempo del Centro
20000,AGU,001,01,0,1/7/19,,Tiempo del Centro
20001,AGU,,,0,1/7/19,,Tiempo del Centro
20002,AGU,,,0,1/7/19,,Tiempo del Centro
20003,AGU,,,0,1/7/19,,Tiempo del Centro
20004,AGU,,,0,1/7/19,,Tiempo del Centro
20005,AGU,,,0,1/7/19,,Tiempo del Centro
20006,AGU,,,0,1/7/19,,Tiempo del Centro
20007,AGU,,,0,1/7/19,,Tiempo del Centro
20008,AGU,,,0,1/7/19,,Tiempo del Centro
20009,AGU,,,0,1/7/19,,Tiempo del Centro
20010,AGU,001,01,0,1/7/19,,Tiempo del Centro
20011,AGU,,,0,1/7/19,,Tiempo del Centro
20012,AGU,,,0,1/7/19,,Tiempo del Centro
20013,AGU,,,0,1/7/19,,Tiempo del Centro
20014,AGU,,,0,1/7/19,,Tiempo del Centro
20015,AGU,,,0,1/7/19,,Tiempo del Centro
20016,AGU,001,01,0,1/7/19,,Tiempo del Centro
20017,AGU,,,0,1/7/19,,Tiempo del Centro
20018,AGU,001,01,0,1/7/19,,Tiempo del Centro
20019,AGU,,,0,1/7/19,,Tiempo del Centro
20020,AGU,001,01,0,1/7/19,,Tiempo del Centro
20021,AGU,,,0,1/7/19,,Tiempo del Centro
20022,AGU,,,0,1/7/19,,Tiempo del Centro
20023,AGU,,,0,1/7/19,,Tiempo del Centro
20024,AGU,,,0,1/7/19,,Tiempo del Centro
20025,AGU,,,0,1/7/19,,Tiempo del Centro
20026,AGU,,,0,1/7/19,,Tiempo del Centro
20027,AGU,,,0,1/7/19,,Tiempo del Centro
20028,AGU,,,0,1/7/19,,Tiempo del Centro
20029,AGU,001,01,0,1/7/19,,Tiempo del Centro
20030,AGU,001,01,0,1/7/19,,Tiempo del Centro
20031,AGU,,,0,1/7/19,,Tiempo del Centro
20032,AGU,,,0,1/7/19,,Tiempo del Centro
20033,AGU,,,0,1/7/19,,Tiempo del Centro
20034,AGU,,,0,1/7/19,,Tiempo del Centro
20035,AGU,,,0,1/7/19,,Tiempo del Centro
20036,AGU,,,0,1/7/19,,Tiempo del Centro
20037,AGU,,,0,1/7/19,,Tiempo del Centro
20038,AGU,,,0,1/7/19,,Tiempo del Centro
20039,AGU,,,0,1/7/19,,Tiempo del Centro
