postal_code,state,municipality,locality,frontier,start_date,end_date,timezone
,,,,,,,Descripción del Huso Horario
38401,GUA,,,0,1/7/19,,Tiempo del Centro
38402,GUA,,,0,1/7/19,,Tiempo del Centro
38403,GUA,042,23,0,1/7/19,,Tiempo del Centro
38404,GUA,042,23,0,1/7/19,,Tiempo del Centro
38405,GUA,042,23,0,1/7/19,,Tiempo del Centro
38406,GUA,042,23,0,1/7/19,,Tiempo del Centro
38407,GUA,042,23,0,1/7/19,,Tiempo del Centro
38408,GUA,,,0,1/7/19,,Tiempo del Centro
38409,GUA,,,0,1/7/19,,Tiempo del Centro
38410,GUA,042,,0,1/7/19,,Tiempo del Centro
38411,GUA,,,0,1/7/19,,Tiempo del Centro
38412,GUA,,,0,1/7/19,,Tiempo del Centro
38413,GUA,042,,0,1/7/19,,Tiempo del Centro
38414,GUA,042,,0,1/7/19,,Tiempo del Centro
38415,GUA,042,,0,1/7/19,,Tiempo del Centro
38416,GUA,042,,0,1/7/19,,Tiempo del Centro
38417,GUA,042,,0,1/7/19,,Tiempo del Centro
38418,GUA,,,0,1/7/19,,Tiempo del Centro
38419,GUA,,,0,1/7/19,,Tiempo del Centro
38420,GUA,042,,0,1/7/19,,Tiempo del Centro
38421,GUA,,,0,1/7/19,,Tiempo del Centro
38422,GUA,,,0,1/7/19,,Tiempo del Centro
38423,GUA,042,,0,1/7/19,,Tiempo del Centro
38424,GUA,042,,0,1/7/19,,Tiempo del Centro
38425,GUA,042,,0,1/7/19,,Tiempo del Centro
38426,GUA,042,,0,1/7/19,,Tiempo del Centro
38427,GUA,042,,0,1/7/19,,Tiempo del Centro
38428,GUA,,,0,1/7/19,,Tiempo del Centro
38429,GUA,,,0,1/7/19,,Tiempo del Centro
38430,GUA,042,,0,1/7/19,,Tiempo del Centro
38431,GUA,,,0,1/7/19,,Tiempo del Centro
38432,GUA,,,0,1/7/19,,Tiempo del Centro
38433,GUA,042,,0,1/7/19,,Tiempo del Centro
38434,GUA,042,,0,1/7/19,,Tiempo del Centro
38435,GUA,042,,0,1/7/19,,Tiempo del Centro
38436,GUA,042,,0,1/7/19,,Tiempo del Centro
38437,GUA,042,,0,1/7/19,,Tiempo del Centro
38438,GUA,,,0,1/7/19,,Tiempo del Centro
38439,GUA,,,0,1/7/19,,Tiempo del Centro
38440,GUA,042,,0,1/7/19,,Tiempo del Centro
38441,GUA,,,0,1/7/19,,Tiempo del Centro
38442,GUA,,,0,1/7/19,,Tiempo del Centro
38443,GUA,042,,0,1/7/19,,Tiempo del Centro
38444,GUA,,,0,1/7/19,,Tiempo del Centro
38445,GUA,042,,0,1/7/19,,Tiempo del Centro
38446,GUA,042,,0,1/7/19,,Tiempo del Centro
38447,GUA,042,,0,1/7/19,,Tiempo del Centro
38448,GUA,,,0,1/7/19,,Tiempo del Centro
38449,GUA,,,0,1/7/19,,Tiempo del Centro
38450,GUA,042,,0,1/7/19,,Tiempo del Centro
38451,GUA,,,0,1/7/19,,Tiempo del Centro
38452,GUA,,,0,1/7/19,,Tiempo del Centro
38453,GUA,042,,0,1/7/19,,Tiempo del Centro
38454,GUA,042,,0,1/7/19,,Tiempo del Centro
38455,GUA,042,,0,1/7/19,,Tiempo del Centro
38456,GUA,042,,0,1/7/19,,Tiempo del Centro
38457,GUA,042,,0,1/7/19,,Tiempo del Centro
38458,GUA,,,0,1/7/19,,Tiempo del Centro
38459,GUA,,,0,1/7/19,,Tiempo del Centro
38460,GUA,042,,0,1/7/19,,Tiempo del Centro
38461,GUA,,,0,1/7/19,,Tiempo del Centro
38462,GUA,,,0,1/7/19,,Tiempo del Centro
38463,GUA,042,,0,1/7/19,,Tiempo del Centro
38464,GUA,042,,0,1/7/19,,Tiempo del Centro
38465,GUA,042,,0,1/7/19,,Tiempo del Centro
38466,GUA,042,,0,1/7/19,,Tiempo del Centro
38467,GUA,042,,0,1/7/19,,Tiempo del Centro
38468,GUA,,,0,1/7/19,,Tiempo del Centro
38469,GUA,,,0,1/7/19,,Tiempo del Centro
38470,GUA,018,35,0,1/7/19,,Tiempo del Centro
38471,GUA,,,0,1/7/19,,Tiempo del Centro
38472,GUA,,,0,1/7/19,,Tiempo del Centro
38473,GUA,018,35,0,1/7/19,,Tiempo del Centro
