postal_code,state,municipality,locality,frontier,start_date,end_date,timezone
,,,,,,,Descripción del Huso Horario
64280,NLE,039,07,0,1/7/19,,Tiempo del Centro
64281,NLE,,,0,1/7/19,,Tiempo del Centro
64282,NLE,,,0,1/7/19,,Tiempo del Centro
64283,NLE,,,0,1/7/19,,Tiempo del Centro
64284,NLE,,,0,1/7/19,,Tiempo del Centro
64285,NLE,,,0,1/7/19,,Tiempo del Centro
64286,NLE,,,0,1/7/19,,Tiempo del Centro
64287,NLE,,,0,1/7/19,,Tiempo del Centro
64288,NLE,,,0,1/7/19,,Tiempo del Centro
64289,NLE,,,0,1/7/19,,Tiempo del Centro
64290,NLE,039,07,0,1/7/19,,Tiempo del Centro
64291,NLE,,,0,1/7/19,,Tiempo del Centro
64292,NLE,,,0,1/7/19,,Tiempo del Centro
64293,NLE,,,0,1/7/19,,Tiempo del Centro
64294,NLE,,,0,1/7/19,,Tiempo del Centro
64295,NLE,,,0,1/7/19,,Tiempo del Centro
64296,NLE,,,0,1/7/19,,Tiempo del Centro
64297,NLE,,,0,1/7/19,,Tiempo del Centro
64298,NLE,,,0,1/7/19,,Tiempo del Centro
64299,NLE,039,07,0,1/7/19,,Tiempo del Centro
64300,NLE,039,07,0,1/7/19,,Tiempo del Centro
64301,NLE,,,0,1/7/19,,Tiempo del Centro
64302,NLE,,,0,1/7/19,,Tiempo del Centro
64303,NLE,,,0,1/7/19,,Tiempo del Centro
64304,NLE,,,0,1/7/19,,Tiempo del Centro
64305,NLE,,,0,1/7/19,,Tiempo del Centro
64306,NLE,,,0,1/7/19,,Tiempo del Centro
64307,NLE,,,0,1/7/19,,Tiempo del Centro
64308,NLE,,,0,1/7/19,,Tiempo del Centro
64309,NLE,,,0,1/7/19,,Tiempo del Centro
64310,NLE,039,07,0,1/7/19,,Tiempo del Centro
64311,NLE,,,0,1/7/19,,Tiempo del Centro
64312,NLE,,,0,1/7/19,,Tiempo del Centro
64313,NLE,,,0,1/7/19,,Tiempo del Centro
64314,NLE,,,0,1/7/19,,Tiempo del Centro
64315,NLE,,,0,1/7/19,,Tiempo del Centro
64316,NLE,,,0,1/7/19,,Tiempo del Centro
64317,NLE,,,0,1/7/19,,Tiempo del Centro
64318,NLE,,,0,1/7/19,,Tiempo del Centro
64319,NLE,,,0,1/7/19,,Tiempo del Centro
64320,NLE,039,07,0,1/7/19,,Tiempo del Centro
64321,NLE,,,0,1/7/19,,Tiempo del Centro
64322,NLE,,,0,1/7/19,,Tiempo del Centro
64323,NLE,,,0,1/7/19,,Tiempo del Centro
64324,NLE,,,0,1/7/19,,Tiempo del Centro
64325,NLE,,,0,1/7/19,,Tiempo del Centro
64326,NLE,,,0,1/7/19,,Tiempo del Centro
64327,NLE,,,0,1/7/19,,Tiempo del Centro
64328,NLE,,,0,1/7/19,,Tiempo del Centro
64329,NLE,,,0,1/7/19,,Tiempo del Centro
64330,NLE,039,07,0,1/7/19,,Tiempo del Centro
64331,NLE,,,0,1/7/19,,Tiempo del Centro
64332,NLE,,,0,1/7/19,,Tiempo del Centro
64333,NLE,,,0,1/7/19,,Tiempo del Centro
64334,NLE,,,0,1/7/19,,Tiempo del Centro
64335,NLE,,,0,1/7/19,,Tiempo del Centro
64336,NLE,,,0,1/7/19,,Tiempo del Centro
64337,NLE,,,0,1/7/19,,Tiempo del Centro
64338,NLE,,,0,1/7/19,,Tiempo del Centro
64339,NLE,039,07,0,1/7/19,,Tiempo del Centro
64340,NLE,039,07,0,1/7/19,,Tiempo del Centro
64341,NLE,,,0,1/7/19,,Tiempo del Centro
64342,NLE,,,0,1/7/19,,Tiempo del Centro
64343,NLE,,,0,1/7/19,,Tiempo del Centro
64344,NLE,039,07,0,1/7/19,,Tiempo del Centro
64345,NLE,039,07,0,1/7/19,,Tiempo del Centro
64346,NLE,039,07,0,1/7/19,,Tiempo del Centro
64347,NLE,039,07,0,1/7/19,,Tiempo del Centro
64348,NLE,039,07,0,1/7/19,,Tiempo del Centro
64349,NLE,039,07,0,1/7/19,,Tiempo del Centro
64350,NLE,039,07,0,1/7/19,,Tiempo del Centro
64351,NLE,,,0,1/7/19,,Tiempo del Centro
64352,NLE,,,0,1/7/19,,Tiempo del Centro
64353,NLE,,,0,1/7/19,,Tiempo del Centro
64354,NLE,,,0,1/7/19,,Tiempo del Centro
64355,NLE,,,0,1/7/19,,Tiempo del Centro
64356,NLE,,,0,1/7/19,,Tiempo del Centro
64357,NLE,,,0,1/7/19,,Tiempo del Centro
64358,NLE,,,0,1/7/19,,Tiempo del Centro
64359,NLE,,,0,1/7/19,,Tiempo del Centro
64360,NLE,039,07,0,1/7/19,,Tiempo del Centro
64361,NLE,,,0,1/7/19,,Tiempo del Centro
64362,NLE,,,0,1/7/19,,Tiempo del Centro
64363,NLE,,,0,1/7/19,,Tiempo del Centro
64364,NLE,,,0,1/7/19,,Tiempo del Centro
64365,NLE,039,07,0,1/7/19,,Tiempo del Centro
64366,NLE,039,07,0,1/7/19,,Tiempo del Centro
64367,NLE,039,07,0,1/7/19,,Tiempo del Centro
64368,NLE,039,07,0,1/7/19,,Tiempo del Centro
64369,NLE,039,07,0,1/7/19,,Tiempo del Centro
64370,NLE,039,07,0,1/7/19,,Tiempo del Centro
64371,NLE,,,0,1/7/19,,Tiempo del Centro
64372,NLE,,,0,1/7/19,,Tiempo del Centro
64373,NLE,,,0,1/7/19,,Tiempo del Centro
64374,NLE,,,0,1/7/19,,Tiempo del Centro
64375,NLE,,,0,1/7/19,,Tiempo del Centro
64376,NLE,,,0,1/7/19,,Tiempo del Centro
64377,NLE,,,0,1/7/19,,Tiempo del Centro
64378,NLE,,,0,1/7/19,,Tiempo del Centro
64379,NLE,,,0,1/7/19,,Tiempo del Centro
64380,NLE,039,07,0,1/7/19,,Tiempo del Centro
64381,NLE,,,0,1/7/19,,Tiempo del Centro
64382,NLE,,,0,1/7/19,,Tiempo del Centro
64383,NLE,,,0,1/7/19,,Tiempo del Centro
64384,NLE,,,0,1/7/19,,Tiempo del Centro
64385,NLE,,,0,1/7/19,,Tiempo del Centro
64386,NLE,,,0,1/7/19,,Tiempo del Centro
64387,NLE,,,0,1/7/19,,Tiempo del Centro
64388,NLE,,,0,1/7/19,,Tiempo del Centro
64389,NLE,,,0,1/7/19,,Tiempo del Centro
64390,NLE,039,07,0,1/7/19,,Tiempo del Centro
64391,NLE,,,0,1/7/19,,Tiempo del Centro
64392,NLE,,,0,1/7/19,,Tiempo del Centro
64393,NLE,,,0,1/7/19,,Tiempo del Centro
64394,NLE,,,0,1/7/19,,Tiempo del Centro
64395,NLE,,,0,1/7/19,,Tiempo del Centro
64396,NLE,,,0,1/7/19,,Tiempo del Centro
64397,NLE,,,0,1/7/19,,Tiempo del Centro
64398,NLE,,,0,1/7/19,,Tiempo del Centro
64399,NLE,,,0,1/7/19,,Tiempo del Centro
64400,NLE,039,07,0,1/7/19,,Tiempo del Centro
64401,NLE,,,0,1/7/19,,Tiempo del Centro
64402,NLE,,,0,1/7/19,,Tiempo del Centro
64403,NLE,,,0,1/7/19,,Tiempo del Centro
64404,NLE,,,0,1/7/19,,Tiempo del Centro
64405,NLE,,,0,1/7/19,,Tiempo del Centro
64406,NLE,,,0,1/7/19,,Tiempo del Centro
64407,NLE,,,0,1/7/19,,Tiempo del Centro
64408,NLE,,,0,1/7/19,,Tiempo del Centro
64409,NLE,,,0,1/7/19,,Tiempo del Centro
64410,NLE,039,07,0,1/7/19,,Tiempo del Centro
64411,NLE,,,0,1/7/19,,Tiempo del Centro
64412,NLE,,,0,1/7/19,,Tiempo del Centro
64413,NLE,,,0,1/7/19,,Tiempo del Centro
64414,NLE,,,0,1/7/19,,Tiempo del Centro
64415,NLE,,,0,1/7/19,,Tiempo del Centro
64416,NLE,,,0,1/7/19,,Tiempo del Centro
64417,NLE,,,0,1/7/19,,Tiempo del Centro
64418,NLE,,,0,1/7/19,,Tiempo del Centro
64419,NLE,,,0,1/7/19,,Tiempo del Centro
64420,NLE,039,07,0,1/7/19,,Tiempo del Centro
64421,NLE,,,0,1/7/19,,Tiempo del Centro
64422,NLE,,,0,1/7/19,,Tiempo del Centro
64423,NLE,,,0,1/7/19,,Tiempo del Centro
64424,NLE,,,0,1/7/19,,Tiempo del Centro
64425,NLE,,,0,1/7/19,,Tiempo del Centro
64426,NLE,,,0,1/7/19,,Tiempo del Centro
64427,NLE,,,0,1/7/19,,Tiempo del Centro
64428,NLE,,,0,1/7/19,,Tiempo del Centro
64429,NLE,039,07,0,1/7/19,,Tiempo del Centro
64430,NLE,039,07,0,1/7/19,,Tiempo del Centro
64431,NLE,,,0,1/7/19,,Tiempo del Centro
64432,NLE,,,0,1/7/19,,Tiempo del Centro
64433,NLE,,,0,1/7/19,,Tiempo del Centro
64434,NLE,,,0,1/7/19,,Tiempo del Centro
64435,NLE,,,0,1/7/19,,Tiempo del Centro
64436,NLE,,,0,1/7/19,,Tiempo del Centro
64437,NLE,,,0,1/7/19,,Tiempo del Centro
64438,NLE,,,0,1/7/19,,Tiempo del Centro
64439,NLE,,,0,1/7/19,,Tiempo del Centro
64440,NLE,039,07,0,1/7/19,,Tiempo del Centro
64441,NLE,,,0,1/7/19,,Tiempo del Centro
64442,NLE,039,07,0,1/7/19,,Tiempo del Centro
64443,NLE,,,0,1/7/19,,Tiempo del Centro
64444,NLE,,,0,1/7/19,,Tiempo del Centro
64445,NLE,,,0,1/7/19,,Tiempo del Centro
64446,NLE,,,0,1/7/19,,Tiempo del Centro
64447,NLE,,,0,1/7/19,,Tiempo del Centro
64448,NLE,,,0,1/7/19,,Tiempo del Centro
64449,NLE,,,0,1/7/19,,Tiempo del Centro
64450,NLE,039,07,0,1/7/19,,Tiempo del Centro
64451,NLE,,,0,1/7/19,,Tiempo del Centro
64452,NLE,,,0,1/7/19,,Tiempo del Centro
64453,NLE,,,0,1/7/19,,Tiempo del Centro
64454,NLE,,,0,1/7/19,,Tiempo del Centro
64455,NLE,,,0,1/7/19,,Tiempo del Centro
64456,NLE,,,0,1/7/19,,Tiempo del Centro
64457,NLE,,,0,1/7/19,,Tiempo del Centro
64458,NLE,,,0,1/7/19,,Tiempo del Centro
64459,NLE,,,0,1/7/19,,Tiempo del Centro
64460,NLE,039,07,0,1/7/19,,Tiempo del Centro
64461,NLE,,,0,1/7/19,,Tiempo del Centro
64462,NLE,,,0,1/7/19,,Tiempo del Centro
64463,NLE,,,0,1/7/19,,Tiempo del Centro
64464,NLE,,,0,1/7/19,,Tiempo del Centro
64465,NLE,,,0,1/7/19,,Tiempo del Centro
64466,NLE,,,0,1/7/19,,Tiempo del Centro
64467,NLE,,,0,1/7/19,,Tiempo del Centro
64468,NLE,,,0,1/7/19,,Tiempo del Centro
64469,NLE,,,0,1/7/19,,Tiempo del Centro
64470,NLE,039,07,0,1/7/19,,Tiempo del Centro
64471,NLE,,,0,1/7/19,,Tiempo del Centro
64472,NLE,,,0,1/7/19,,Tiempo del Centro
64473,NLE,,,0,1/7/19,,Tiempo del Centro
64474,NLE,,,0,1/7/19,,Tiempo del Centro
64475,NLE,,,0,1/7/19,,Tiempo del Centro
64476,NLE,,,0,1/7/19,,Tiempo del Centro
64477,NLE,,,0,1/7/19,,Tiempo del Centro
64478,NLE,,,0,1/7/19,,Tiempo del Centro
64479,NLE,,,0,1/7/19,,Tiempo del Centro
64480,NLE,039,07,0,1/7/19,,Tiempo del Centro
64481,NLE,,,0,1/7/19,,Tiempo del Centro
64482,NLE,,,0,1/7/19,,Tiempo del Centro
64483,NLE,,,0,1/7/19,,Tiempo del Centro
64484,NLE,,,0,1/7/19,,Tiempo del Centro
64485,NLE,,,0,1/7/19,,Tiempo del Centro
64486,NLE,,,0,1/7/19,,Tiempo del Centro
64487,NLE,,,0,1/7/19,,Tiempo del Centro
64488,NLE,039,07,0,1/7/19,,Tiempo del Centro
64489,NLE,039,07,0,1/7/19,,Tiempo del Centro
64490,NLE,039,07,0,1/7/19,,Tiempo del Centro
64491,NLE,,,0,1/7/19,,Tiempo del Centro
64492,NLE,,,0,1/7/19,,Tiempo del Centro
64493,NLE,,,0,1/7/19,,Tiempo del Centro
64494,NLE,,,0,1/7/19,,Tiempo del Centro
64495,NLE,,,0,1/7/19,,Tiempo del Centro
64496,NLE,,,0,1/7/19,,Tiempo del Centro
64497,NLE,,,0,1/7/19,,Tiempo del Centro
64498,NLE,,,0,1/7/19,,Tiempo del Centro
64499,NLE,,,0,1/7/19,,Tiempo del Centro
64500,NLE,039,07,0,1/7/19,,Tiempo del Centro
64501,NLE,,,0,1/7/19,,Tiempo del Centro
64502,NLE,,,0,1/7/19,,Tiempo del Centro
64503,NLE,,,0,1/7/19,,Tiempo del Centro
64504,NLE,,,0,1/7/19,,Tiempo del Centro
64505,NLE,,,0,1/7/19,,Tiempo del Centro
64506,NLE,,,0,1/7/19,,Tiempo del Centro
64507,NLE,,,0,1/7/19,,Tiempo del Centro
64508,NLE,039,07,0,1/7/19,,Tiempo del Centro
64509,NLE,,,0,1/7/19,,Tiempo del Centro
64510,NLE,039,07,0,1/7/19,,Tiempo del Centro
64511,NLE,,,0,1/7/19,,Tiempo del Centro
64512,NLE,,,0,1/7/19,,Tiempo del Centro
64513,NLE,,,0,1/7/19,,Tiempo del Centro
64514,NLE,,,0,1/7/19,,Tiempo del Centro
64515,NLE,,,0,1/7/19,,Tiempo del Centro
64516,NLE,,,0,1/7/19,,Tiempo del Centro
64517,NLE,039,07,0,1/7/19,,Tiempo del Centro
64518,NLE,,,0,1/7/19,,Tiempo del Centro
64519,NLE,,,0,1/7/19,,Tiempo del Centro
64520,NLE,039,07,0,1/7/19,,Tiempo del Centro
64521,NLE,,,0,1/7/19,,Tiempo del Centro
64522,NLE,,,0,1/7/19,,Tiempo del Centro
64523,NLE,,,0,1/7/19,,Tiempo del Centro
64524,NLE,,,0,1/7/19,,Tiempo del Centro
64525,NLE,,,0,1/7/19,,Tiempo del Centro
64526,NLE,,,0,1/7/19,,Tiempo del Centro
64527,NLE,,,0,1/7/19,,Tiempo del Centro
64528,NLE,,,0,1/7/19,,Tiempo del Centro
64529,NLE,,,0,1/7/19,,Tiempo del Centro
64530,NLE,039,07,0,1/7/19,,Tiempo del Centro
64531,NLE,,,0,1/7/19,,Tiempo del Centro
64532,NLE,,,0,1/7/19,,Tiempo del Centro
64533,NLE,,,0,1/7/19,,Tiempo del Centro
64534,NLE,,,0,1/7/19,,Tiempo del Centro
64535,NLE,,,0,1/7/19,,Tiempo del Centro
64536,NLE,039,07,0,1/7/19,,Tiempo del Centro
64537,NLE,,,0,1/7/19,,Tiempo del Centro
64538,NLE,,,0,1/7/19,,Tiempo del Centro
64539,NLE,,,0,1/7/19,,Tiempo del Centro
64540,NLE,039,07,0,1/7/19,,Tiempo del Centro
64541,NLE,,,0,1/7/19,,Tiempo del Centro
64542,NLE,,,0,1/7/19,,Tiempo del Centro
64543,NLE,,,0,1/7/19,,Tiempo del Centro
64544,NLE,,,0,1/7/19,,Tiempo del Centro
64545,NLE,,,0,1/7/19,,Tiempo del Centro
64546,NLE,,,0,1/7/19,,Tiempo del Centro
64547,NLE,,,0,1/7/19,,Tiempo del Centro
64548,NLE,,,0,1/7/19,,Tiempo del Centro
64549,NLE,039,07,0,1/7/19,,Tiempo del Centro
64550,NLE,039,07,0,1/7/19,,Tiempo del Centro
64551,NLE,,,0,1/7/19,,Tiempo del Centro
64552,NLE,,,0,1/7/19,,Tiempo del Centro
64553,NLE,,,0,1/7/19,,Tiempo del Centro
64554,NLE,,,0,1/7/19,,Tiempo del Centro
64555,NLE,,,0,1/7/19,,Tiempo del Centro
64556,NLE,,,0,1/7/19,,Tiempo del Centro
64557,NLE,,,0,1/7/19,,Tiempo del Centro
64558,NLE,,,0,1/7/19,,Tiempo del Centro
64559,NLE,,,0,1/7/19,,Tiempo del Centro
64560,NLE,039,07,0,1/7/19,,Tiempo del Centro
64561,NLE,,,0,1/7/19,,Tiempo del Centro
64562,NLE,,,0,1/7/19,,Tiempo del Centro
64563,NLE,,,0,1/7/19,,Tiempo del Centro
64564,NLE,,,0,1/7/19,,Tiempo del Centro
64565,NLE,,,0,1/7/19,,Tiempo del Centro
64566,NLE,,,0,1/7/19,,Tiempo del Centro
64567,NLE,,,0,1/7/19,,Tiempo del Centro
64568,NLE,039,07,0,1/7/19,,Tiempo del Centro
64569,NLE,,,0,1/7/19,,Tiempo del Centro
64570,NLE,039,07,0,1/7/19,,Tiempo del Centro
64571,NLE,039,07,0,1/7/19,,Tiempo del Centro
64572,NLE,,,0,1/7/19,,Tiempo del Centro
64573,NLE,,,0,1/7/19,,Tiempo del Centro
64574,NLE,,,0,1/7/19,,Tiempo del Centro
64575,NLE,,,0,1/7/19,,Tiempo del Centro
64576,NLE,,,0,1/7/19,,Tiempo del Centro
64577,NLE,,,0,1/7/19,,Tiempo del Centro
64578,NLE,,,0,1/7/19,,Tiempo del Centro
64579,NLE,,,0,1/7/19,,Tiempo del Centro
64580,NLE,039,07,0,1/7/19,,Tiempo del Centro
64581,NLE,,,0,1/7/19,,Tiempo del Centro
64582,NLE,,,0,1/7/19,,Tiempo del Centro
64583,NLE,,,0,1/7/19,,Tiempo del Centro
64584,NLE,,,0,1/7/19,,Tiempo del Centro
64585,NLE,,,0,1/7/19,,Tiempo del Centro
64586,NLE,,,0,1/7/19,,Tiempo del Centro
64587,NLE,,,0,1/7/19,,Tiempo del Centro
64588,NLE,,,0,1/7/19,,Tiempo del Centro
64589,NLE,,,0,1/7/19,,Tiempo del Centro
64590,NLE,039,07,0,1/7/19,,Tiempo del Centro
64591,NLE,,,0,1/7/19,,Tiempo del Centro
64592,NLE,,,0,1/7/19,,Tiempo del Centro
64593,NLE,,,0,1/7/19,,Tiempo del Centro
64594,NLE,,,0,1/7/19,,Tiempo del Centro
64595,NLE,,,0,1/7/19,,Tiempo del Centro
64596,NLE,,,0,1/7/19,,Tiempo del Centro
64597,NLE,,,0,1/7/19,,Tiempo del Centro
64598,NLE,,,0,1/7/19,,Tiempo del Centro
64599,NLE,,,0,1/7/19,,Tiempo del Centro
64600,NLE,039,07,0,1/7/19,,Tiempo del Centro
64601,NLE,,,0,1/7/19,,Tiempo del Centro
64602,NLE,,,0,1/7/19,,Tiempo del Centro
64603,NLE,,,0,1/7/19,,Tiempo del Centro
64604,NLE,,,0,1/7/19,,Tiempo del Centro
64605,NLE,,,0,1/7/19,,Tiempo del Centro
64606,NLE,,,0,1/7/19,,Tiempo del Centro
64607,NLE,,,0,1/7/19,,Tiempo del Centro
64608,NLE,,,0,1/7/19,,Tiempo del Centro
64609,NLE,,,0,1/7/19,,Tiempo del Centro
64610,NLE,039,07,0,1/7/19,,Tiempo del Centro
64611,NLE,,,0,1/7/19,,Tiempo del Centro
64612,NLE,,,0,1/7/19,,Tiempo del Centro
64613,NLE,,,0,1/7/19,,Tiempo del Centro
64614,NLE,,,0,1/7/19,,Tiempo del Centro
64615,NLE,,,0,1/7/19,,Tiempo del Centro
64616,NLE,,,0,1/7/19,,Tiempo del Centro
64617,NLE,,,0,1/7/19,,Tiempo del Centro
64618,NLE,039,07,0,1/7/19,,Tiempo del Centro
64619,NLE,039,07,0,1/7/19,,Tiempo del Centro
64620,NLE,039,07,0,1/7/19,,Tiempo del Centro
64621,NLE,,,0,1/7/19,,Tiempo del Centro
64622,NLE,,,0,1/7/19,,Tiempo del Centro
64623,NLE,039,07,0,1/7/19,,Tiempo del Centro
64624,NLE,,,0,1/7/19,,Tiempo del Centro
64625,NLE,,,0,1/7/19,,Tiempo del Centro
64626,NLE,,,0,1/7/19,,Tiempo del Centro
64627,NLE,,,0,1/7/19,,Tiempo del Centro
64628,NLE,,,0,1/7/19,,Tiempo del Centro
64629,NLE,,,0,1/7/19,,Tiempo del Centro
64630,NLE,039,07,0,1/7/19,,Tiempo del Centro
64631,NLE,,,0,1/7/19,,Tiempo del Centro
64632,NLE,039,07,0,1/7/19,,Tiempo del Centro
64633,NLE,039,07,0,1/7/19,,Tiempo del Centro
64634,NLE,039,07,0,1/7/19,,Tiempo del Centro
64635,NLE,039,07,0,1/7/19,,Tiempo del Centro
64636,NLE,039,07,0,1/7/19,,Tiempo del Centro
64637,NLE,039,07,0,1/7/19,,Tiempo del Centro
64638,NLE,039,07,0,1/7/19,,Tiempo del Centro
64639,NLE,039,07,0,1/7/19,,Tiempo del Centro
64640,NLE,039,07,0,1/7/19,,Tiempo del Centro
64641,NLE,,,0,1/7/19,,Tiempo del Centro
64642,NLE,,,0,1/7/19,,Tiempo del Centro
64643,NLE,,,0,1/7/19,,Tiempo del Centro
64644,NLE,,,0,1/7/19,,Tiempo del Centro
64645,NLE,,,0,1/7/19,,Tiempo del Centro
64646,NLE,,,0,1/7/19,,Tiempo del Centro
64647,NLE,,,0,1/7/19,,Tiempo del Centro
64648,NLE,,,0,1/7/19,,Tiempo del Centro
64649,NLE,039,07,0,1/7/19,,Tiempo del Centro
64650,NLE,039,07,0,1/7/19,,Tiempo del Centro
64651,NLE,,,0,1/7/19,,Tiempo del Centro
64652,NLE,,,0,1/7/19,,Tiempo del Centro
64653,NLE,,,0,1/7/19,,Tiempo del Centro
64654,NLE,,,0,1/7/19,,Tiempo del Centro
64655,NLE,,,0,1/7/19,,Tiempo del Centro
64656,NLE,,,0,1/7/19,,Tiempo del Centro
64657,NLE,,,0,1/7/19,,Tiempo del Centro
64658,NLE,,,0,1/7/19,,Tiempo del Centro
64659,NLE,039,07,0,1/7/19,,Tiempo del Centro
64660,NLE,039,07,0,1/7/19,,Tiempo del Centro
64661,NLE,,,0,1/7/19,,Tiempo del Centro
64662,NLE,,,0,1/7/19,,Tiempo del Centro
64663,NLE,,,0,1/7/19,,Tiempo del Centro
64664,NLE,,,0,1/7/19,,Tiempo del Centro
64665,NLE,,,0,1/7/19,,Tiempo del Centro
64666,NLE,,,0,1/7/19,,Tiempo del Centro
64667,NLE,,,0,1/7/19,,Tiempo del Centro
64668,NLE,,,0,1/7/19,,Tiempo del Centro
64669,NLE,,,0,1/7/19,,Tiempo del Centro
64670,NLE,,,0,1/7/19,,Tiempo del Centro
64671,NLE,,,0,1/7/19,,Tiempo del Centro
64672,NLE,,,0,1/7/19,,Tiempo del Centro
64673,NLE,,,0,1/7/19,,Tiempo del Centro
64674,NLE,,,0,1/7/19,,Tiempo del Centro
64675,NLE,,,0,1/7/19,,Tiempo del Centro
64676,NLE,,,0,1/7/19,,Tiempo del Centro
64677,NLE,,,0,1/7/19,,Tiempo del Centro
64678,NLE,,,0,1/7/19,,Tiempo del Centro
64679,NLE,,,0,1/7/19,,Tiempo del Centro
64680,NLE,,,0,1/7/19,,Tiempo del Centro
64681,NLE,,,0,1/7/19,,Tiempo del Centro
64682,NLE,,,0,1/7/19,,Tiempo del Centro
64683,NLE,,,0,1/7/19,,Tiempo del Centro
64684,NLE,,,0,1/7/19,,Tiempo del Centro
64685,NLE,,,0,1/7/19,,Tiempo del Centro
64686,NLE,,,0,1/7/19,,Tiempo del Centro
64687,NLE,,,0,1/7/19,,Tiempo del Centro
64688,NLE,,,0,1/7/19,,Tiempo del Centro
64689,NLE,,,0,1/7/19,,Tiempo del Centro
64690,NLE,,,0,1/7/19,,Tiempo del Centro
64691,NLE,,,0,1/7/19,,Tiempo del Centro
64692,NLE,,,0,1/7/19,,Tiempo del Centro
64693,NLE,,,0,1/7/19,,Tiempo del Centro
64694,NLE,,,0,1/7/19,,Tiempo del Centro
64695,NLE,,,0,1/7/19,,Tiempo del Centro
64696,NLE,,,0,1/7/19,,Tiempo del Centro
64697,NLE,,,0,1/7/19,,Tiempo del Centro
64698,NLE,,,0,1/7/19,,Tiempo del Centro
64699,NLE,,,0,1/7/19,,Tiempo del Centro
64700,NLE,039,07,0,1/7/19,,Tiempo del Centro
64701,NLE,,,0,1/7/19,,Tiempo del Centro
64702,NLE,,,0,1/7/19,,Tiempo del Centro
64703,NLE,,,0,1/7/19,,Tiempo del Centro
64704,NLE,,,0,1/7/19,,Tiempo del Centro
64705,NLE,,,0,1/7/19,,Tiempo del Centro
64706,NLE,,,0,1/7/19,,Tiempo del Centro
64707,NLE,,,0,1/7/19,,Tiempo del Centro
64708,NLE,,,0,1/7/19,,Tiempo del Centro
64709,NLE,,,0,1/7/19,,Tiempo del Centro
64710,NLE,039,07,0,1/7/19,,Tiempo del Centro
64711,NLE,,,0,1/7/19,,Tiempo del Centro
64712,NLE,,,0,1/7/19,,Tiempo del Centro
64713,NLE,,,0,1/7/19,,Tiempo del Centro
64714,NLE,,,0,1/7/19,,Tiempo del Centro
64715,NLE,039,07,0,1/7/19,,Tiempo del Centro
64716,NLE,,,0,1/7/19,,Tiempo del Centro
64717,NLE,,,0,1/7/19,,Tiempo del Centro
64718,NLE,039,07,0,1/7/19,,Tiempo del Centro
64719,NLE,,,0,1/7/19,,Tiempo del Centro
64720,NLE,039,07,0,1/7/19,,Tiempo del Centro
64721,NLE,,,0,1/7/19,,Tiempo del Centro
64722,NLE,,,0,1/7/19,,Tiempo del Centro
64723,NLE,039,07,0,1/7/19,,Tiempo del Centro
64724,NLE,,,0,1/7/19,,Tiempo del Centro
64725,NLE,,,0,1/7/19,,Tiempo del Centro
64726,NLE,,,0,1/7/19,,Tiempo del Centro
64727,NLE,,,0,1/7/19,,Tiempo del Centro
64728,NLE,,,0,1/7/19,,Tiempo del Centro
64729,NLE,,,0,1/7/19,,Tiempo del Centro
64730,NLE,039,07,0,1/7/19,,Tiempo del Centro
64731,NLE,,,0,1/7/19,,Tiempo del Centro
64732,NLE,,,0,1/7/19,,Tiempo del Centro
64733,NLE,,,0,1/7/19,,Tiempo del Centro
64734,NLE,,,0,1/7/19,,Tiempo del Centro
64735,NLE,,,0,1/7/19,,Tiempo del Centro
64736,NLE,,,0,1/7/19,,Tiempo del Centro
64737,NLE,,,0,1/7/19,,Tiempo del Centro
64738,NLE,,,0,1/7/19,,Tiempo del Centro
64739,NLE,,,0,1/7/19,,Tiempo del Centro
64740,NLE,039,07,0,1/7/19,,Tiempo del Centro
64741,NLE,,,0,1/7/19,,Tiempo del Centro
64742,NLE,,,0,1/7/19,,Tiempo del Centro
64743,NLE,,,0,1/7/19,,Tiempo del Centro
64744,NLE,,,0,1/7/19,,Tiempo del Centro
64745,NLE,,,0,1/7/19,,Tiempo del Centro
64746,NLE,,,0,1/7/19,,Tiempo del Centro
64747,NLE,,,0,1/7/19,,Tiempo del Centro
64748,NLE,,,0,1/7/19,,Tiempo del Centro
64749,NLE,,,0,1/7/19,,Tiempo del Centro
64750,NLE,039,07,0,1/7/19,,Tiempo del Centro
