c_RegimenFiscal,Descripción,Física,Moral,Fecha de inicio de vigencia,Fecha de fin de vigencia
601,General de Ley Personas Morales,No,Sí,11/12/16,
603,Personas Morales con Fines no Lucrativos,No,Sí,11/12/16,
605,Sueldos y Salarios e Ingresos Asimilados a Salarios,Sí,No,11/12/16,
606,Arrendamiento,Sí,No,11/12/16,
608,Demás ingresos,Sí,No,11/12/16,
609,Consolidación,No,Sí,11/12/16,12/31/19
610,Residentes en el Extranjero sin Establecimiento Permanente en México,Sí,Sí,11/12/16,
611,Ingresos por Dividendos (socios y accionistas),Sí,No,11/12/16,
612,Personas Físicas con Actividades Empresariales y Profesionales,Sí,No,11/12/16,
614,Ingresos por intereses,Sí,No,11/12/16,
616,Sin obligaciones fiscales,Sí,No,11/12/16,
620,Sociedades Cooperativas de Producción que optan por diferir sus ingresos,No,Sí,11/12/16,
621,Incorporación Fiscal,Sí,No,11/12/16,
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras",Sí,Sí,11/12/16,
623,Opcional para Grupos de Sociedades,No,Sí,11/12/16,
624,Coordinados,No,Sí,11/12/16,
628,Hidrocarburos,No,Sí,1/1/24,
607,Régimen de Enajenación o Adquisición de Bienes,No,Sí,11/12/16,
629,De los Regímenes Fiscales Preferentes y de las Empresas Multinacionales,Sí,No,1/1/24,
630,Enajenación de acciones en bolsa de valores,Sí,No,1/1/24,
615,Régimen de los ingresos por obtención de premios,Sí,No,11/12/16,
625,Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas,Sí,No,6/1/20,
